time,open,high,low,close,Volume,Volume MA
1502928000,4261.48,4485.39,4200.74,4285.08,795.150377,NaN
1503014400,4285.08,4371.52,3938.77,4108.37,1199.888264,NaN
1503100800,4108.37,4184.69,3850,4139.98,381.309763,NaN
1503187200,4120.98,4211.08,4032.62,4086.29,467.083022,NaN
1503273600,4069.13,4119.62,3911.79,4016,691.74306,NaN
1503360000,4016,4104.82,3400,4040,966.684858,NaN
1503446400,4040,4265.8,4013.89,4114.01,1001.136565,NaN
1503532800,4147,4371.68,4085.01,4316.01,787.418753,NaN
1503619200,4316.01,4453.91,4247.48,4280.68,573.61274,NaN
1503705600,4280.71,4367,4212.41,4337.44,228.108068,NaN
1503792000,4332.51,4400,4285.54,4310.01,350.692585,NaN
1503878400,4310.01,4399.82,4124.54,4386.69,603.841616,NaN
1503964800,4353.65,4625.85,4313.55,4587.48,603.545028,NaN
1504051200,4564.52,4647.51,4416.01,4555.14,808.468771,NaN
1504137600,4555.14,4745.42,4555.14,4724.89,556.956802,NaN
1504224000,4689.89,4885.55,4654.88,4834.91,560.666366,NaN
1504310400,4796.16,4939.19,4286.87,4472.14,929.148595,NaN
1504396800,4508.5,4714.76,4298.33,4509.08,691.216198,NaN
1504483200,4505,4527.49,3972.51,4100.11,1394.644614,NaN
1504569600,4106.97,4484.99,3603,4366.47,1228.938157,741.0127101
1504656000,4366.49,4662.87,4335.26,4619.77,807.363726,741.62337755
1504742400,4619.77,4788.59,4438.19,4691.61,500.429975,706.6504631
1504828800,4691.66,4735.39,4028.93,4282.8,1132.255046,744.1977272500001
1504915200,4282.8,4426.62,4150.06,4258.81,658.782952,753.78272375
1505001600,4258.81,4283,3801,4130.37,660.373275,752.2142345
1505088000,4153.62,4334.43,4098.91,4208.47,699.989065,738.8794448499999
1505174400,4208.6,4394.59,4040.8,4163.72,879.630319,732.8041325499998
1505260800,4159.72,4165.38,3760,3944.69,913.462545,739.1063221499999
1505347200,3944,3993,3165.13,3189.02,1665.021543,793.6767622999998
1505433600,3188.01,3856,2817,3700,1968.866492,880.7146835
1505520000,3674.01,3950,3470.66,3714.95,1297.563953,928.0582519
1505606400,3685.23,3748.21,3499.02,3699.99,682.17121,931.9747315999999
1505692800,3690,4123.2,3690,4035.01,1030.006455,953.2978029499998
1505779200,4060,4089.97,3830.91,3910.04,902.332129,957.9909708499997
1505865600,3910.04,4046.08,3820,3900,720.935076,966.1898845499998
1505952000,3889.99,3910,3567,3609.99,1001.654084,988.2392704499998
1506038400,3592.84,3750,3505.55,3595.87,838.966425,983.7301619499998
1506124800,3595.88,3817.19,3542.91,3780,752.792791,986.8089915999999
1506211200,3779.54,3789.99,3622.76,3660.02,661.63639,950.1585803999999
1506297600,3660.02,3979.87,3653.69,3920.75,727.994713,925.1114081999998
1506384000,3928,3976.99,3850.05,3882.35,526.727987,911.0796212499997
1506470400,3882.36,4249.94,3872.81,4193,628.170966,917.4666707999999
1506556800,4192.11,4300,4101,4174.5,849.785325,903.34318475
1506643200,4178.98,4263.86,3952.01,4174.69,1602.309565,950.5195153999999
1506729600,4175,4380,4138.1,4378.51,720.353183,953.5185107999998
1506816000,4378.49,4406.52,4240.04,4378.48,726.963685,954.8672417999996
1506902400,4400,4561.63,4360,4380,655.756974,943.6735745499997
1506988800,4380,4467.33,4180.8,4310,1082.323563,952.1166254499997
1507075200,4314.9,4373,4142,4208.59,868.465101,912.2888033499997
1507161600,4208.59,4355,4110,4292.43,779.138638,852.8024106499997
1507248000,4318.99,4417,4292,4369,506.529176,813.2506717999997
1507334400,4369,4479.5,4312.56,4423,297.5975,794.0219862999996
1507420800,4425,4658,4425,4640,518.462004,768.4447637499995
1507507200,4640,4889.98,4550,4786.95,646.463145,755.6513145499996
1507593600,4786.95,4960,4680.59,4783.06,1043.221773,771.7656493999996
1507680000,4783.06,4881.61,4710,4821.43,753.429396,759.3544149999996
1507766400,4821.43,5439.99,4810.16,5430,1276.701482,781.2411678499996
1507852800,5439.99,5846.17,5379.84,5649.98,1879.82762,837.5929092999995
1507939200,5650,5900,5580.01,5869.99,970.759046,853.0490420999995
1508025600,5855.03,5922.3,5400.01,5709.99,1343.523375,883.8254751999996
1508112000,5710,5788.91,5585.19,5760.02,1528.996462,933.9388989499996
1508198400,5760,5774.98,5508.63,5595,1429.869376,974.0238194499995
1508284800,5595,5596,5037.95,5512.06,2317.804373,1047.4247718499994
1508371200,5513,5710,5490.26,5683.9,1881.722107,1061.3953989499994
1508457600,5683.31,6110,5600,6010.01,1972.97722,1124.0266007999994
1508544000,6013.72,6171,5850.03,6024.97,1664.307693,1170.8938011999994
1508630400,6003.27,6060,5720.03,5950.02,1362.092216,1206.2105632999996
1508716800,5975,6080,5621.03,5915.93,1812.557715,1242.7222708999996
1508803200,5909.47,5925,5450,5477.03,2580.418767,1328.3199541999995
1508889600,5506.92,5704.96,5286.98,5689.99,2282.813205,1403.5036825499994
1508976000,5670.1,5939.99,5650,5861.77,1972.965882,1476.8255178499994
1509062400,5861.77,5980,5649.24,5768.83,1403.706416,1532.1309636499996
1509148800,5768.79,5850.02,5630.03,5719.64,1276.754412,1570.0455840499994
1509235200,5709.98,6189.88,5648.01,6169.98,1804.778173,1627.9613354499993
1509321600,6133.01,6248.68,6030,6120.5,1473.687043,1649.484598949999
1509408000,6120.52,6498.01,6100,6463,1511.774925,1687.401875399999
1509494400,6463,6774.67,6338.02,6753.98,1675.615188,1707.347560699999
