time,open,high,low,close,Volume,Volume MA
1254355200,0.00076392,0.00135534,0.00061337,0.00068879,0,NaN
1262304000,0.00071822,0.00547226,0.00071822,0.00547226,0,NaN
1270080000,0.003,0.0058,0.003,0.0054,0,NaN
1277942400,0.0055,0.175,0.0055,0.0619,470409.713,NaN
1285891200,0.06189,0.5,0.01,0.3,2195828.054,NaN
1293840000,0.292,1.1,0.289,0.78461,988346.406,NaN
1301616000,0.77701,31.9099,0.5619,16.10098,3159880.19387036,NaN
1309478400,16.10098,16.74,4.18,5.14009,3759200.04827177,NaN
1317427200,5.16699,5.24919,1.994,4.72202,5604355.08006015,NaN
1325376000,4.70785,7.22,3.878,4.90873,7806239.39755536,NaN
1333238400,4.88002,6.8,4.62,6.68999,4276629.11345353,NaN
1341100800,6.68998,15.4,6.4,12.4,5309960.49170721,NaN
1349049600,12.35,13.90119,9.74,13.51001,2613949.56131759,NaN
1356998400,13.51001,95.7,13.16123,93.03001,5154239.97614172,NaN
1364774400,93.25,266,50.01,97.51,7833351.05918649,NaN
1372636800,97.50888,148.90893,65.42448,141.8965,2114690.84541543,NaN
1380585600,143.28122,1242,109.7,739.28,2767640.04545979,NaN
1388534400,737.67,995,400,456.9899,1287767.69965442,NaN
1396310400,456.3,685,340,640.79,1042659.70401848,NaN
1404172800,642.26,665,365,387,893394,2863927.0694556152
1412121600,386.93,475,275,322.3,2340303.88168276,2980942.2635397534
1420070400,322.31,322.9,166.45,244.51,4415019.54200634,3201693.2406400703
1427846400,244.56,269,213.92,262.89,1800143,3291700.39064007
1435708800,262.9,316.23,162,236.49,1826404,3359500.10499007
1443657600,236.72,504,236.19,429.02,3359862.87735205,3417701.846157673
1451606400,429.17,465,352.5,416.02,1953146.86696738,3465941.869206042
1459468800,416.34,789.78,412,671.9135,2504509.21084424,3433173.320054736
1467331200,671.685,704.3075,470.91,609.675,1010357.49412384,3295731.1923473394
1475280000,609.675,984.23,606.95075,970.4175,1150074.96322275,3073017.1865054695
1483228800,970.7525,1336.4955,748.49525,1080.825,2184396.96390245,2791925.064822824
1491004800,1081.145,2975.7475,1069.1925,2455.4225,3619175.18227558,2759052.368263927
1498867200,2455.01,4977.475,1799.3,4334.18,4347648.41790703,2710936.7645739177
1506816000,4334.1575,19804.2475,4146.9675,13888.3225,4878490.39468932,2824163.806242504
1514764800,13888.35,17222.6125,5893.765,6922.18,5162959.80600582,2824599.7977357088
1522540800,6923.4725,9949.775,5743.85,6386.4525,2677368.37156618,2566800.6633546934
1530403200,6386.235,8489.015,5889,6565.645,2044978.582615,2563315.050214672
1538352000,6550.5825,6788.75,3124.5125,3692.3525,3021548.481378,2576010.4720105827
1546300800,3692.905,4189.02,3331.09,4095.32,1912262.01777266,2607235.1879164944
1554076800,4094.2825,13870.6275,4052.07,10754.915,3673813.95586314,2738792.9005087274
1561939200,10756.975,13196.8325,7694.05,8303.7925,3057947.34700914,2847020.5678591845
1569888000,8311.105,10520.2475,6430.145,7167.07,2008246.73371046,2830417.7104605692
1577836800,7164.9025,10514.2025,3880.5875,6424.0325,3419117.31334698,2780622.5990276015
1585699200,6425.015,10413.065,6152.895,9134.015,3257711.77189731,2853501.037622467
1593561600,9135.67,12479.03,8909.995,10779.1975,2209015.10039968,2872631.592642451
1601510400,10781.775,29307.5225,10376.45,28980.4525,2999361.82987016,2854606.5402683564
1609459200,28976.325,61769.97,27741.085,58793.155,4323713.66815383,2973134.8803276788
1617235200,58787.5975,64898.555,28754.4,35041.1075,3336422.06645225,3014730.523108079
1625097600,35068.0775,52935.0525,29292.725,43821.91,1852020.3547792,3056813.6661408474
1633046400,43822.7725,68997.75,41631.28,46195.56,1949661.65712648,3096793.000836034
1640995200,46252.09,48222.96,32992.55,45526.92,2077197.61078161,3091433.033179992
1648771200,45520.97,47455.7,17585.31,19949.77,2707351.81371932,3045841.8647521785
1656633600,19960.39,25207.71,18152.13,19426.02,2814912.99650534,2969205.0936820945
1664582400,19423.86,21473.69,15473.78,16528.89,3172290.88029697,2883895.117962477
1672531200,16530.33,29182.1,16491.36,28475.84,2508621.3726809,2751178.196296231
1680307200,28476.44,31441.74,24770.53,30477.68,1907108.97286089,2712665.2263609665
1688169600,30477.43,31829,24915.5,26969.98,1271026.57806686,2673967.6261335593
1696118400,26968.53,37980.5,26541.83,37006.05,992438.62778896,2572512.1334541077
